Club/Group Name,Google + Name,Category,Avatar,Status,Email,TAG FILE
"""name""","""id_author""","""id_category""","""icon_img""",,,
Student Bulletin,Moscrop School,Newsletters,https://copy.com/4sYt7piMw4Kkyccm,Official/Auto,moscropsecondaryschool@gmail.com,http://pastebin.com/dMePcZ9e
Official,Moscrop Dev,Official,https://copy.com/orrImpof8iSJFJWt,Official,moscropsecondarydev@gmail.com,
Scholarships,Moscrop Scholarships,Scholarships,https://copy.com/BhR1IcyiLf7K8JA6,Auto,moscropscholarships@gmail.com,AVATAR FOLDER
Mod,Allan W,Mod,,Verified,Allan,
,,,,,,https://copy.com/4dcuDifwZQZahkjI
Animal Protection Club,Andrew Zhen,APC,,,apcmoscrop@gmail.com,
Best Buddies,Moscrop BestBuddies,Best Buddies,,Verified,moscropbestbuddies@gmail.com,
Book Club,,Book Club,,???,gloria.usachca@gmail.com,
Cancer Society,Unknown,Cancer Society,,Pending Post,moscropcancersociety@gmail.com,justinwong06@hotmail.com
Children with Disabilities Committee,Moscrop CWD,Children with Disabilities Committee,,Pending Post,moscrop.cwdsociety@gmail.com,
Christian Club,Christian Club,Christian Club,,Verified,moscropchristianclub@gmail.com,
Fine Arts Council,Moscrop Fine Arts Council,Fine Arts Council,,Pending,moscropfineart@gmail.com,
GAAP,Gaap Moscrop,GAAP,,???,gaapmoscrop@gmail.com,
Grad 2k15,Grad 2k15,Grad 2k15,https://copy.com/ld1kJnhBemiFCgUO,Verified,moscrop2k15@gmail.com / Allan,
Leo,Leo Club,Leo Club,https://copy.com/XsbaHfIRKgTneTH2,Verified,moscropleoclub@gmail.com,
MAC,Moscrop MAC,MAC,https://copy.com/4sYt7piMw4Kkyccm,Verified,moscropmac@gmail.com,
Mind Over Autism,Ohin,Mind Over Autism,,???,moamoscrop@gmail.com,
MUN,Moscrop Model United Nations Club,MUN,https://copy.com/4sYt7piMw4Kkyccm,???,moscropmun@gmail.com,
Music Council,,Music Council,,???,moscropmusiccouncil@gmail.com,
Nutrition Club,,Nutrition Club,,???,moscropnutrition@hotmail.com,
Open Door Club,,Open Door Club,,???,gloria.usachca@gmail.com,
Reach for the Top,LAPD RAMPART,Reach for the Top,,Verified,ziyukou@gmail.com,
Sleep Tight,Moscrop Sleep Tight,Sleep Tight,,Pending,moscropsleeptight@gmail.com,
SWC,Moscrop SWC,SWC,,???,moscropswc@gmail.com,
Taste of Asia Club,Moscrop TasteofAsia,Taste of Asia Club,,Pending,tasteofasia2015@gmail.com,
Unity in Green,Unity in Green,Unity in Green,https://copy.com/4sYt7piMw4Kkyccm,Verified,unityingreen@gmail.com,
Ski Team,Kirsten Geyer,Ski Team,,Pending Post,geyerkirsten@gmail.com,
Physics Olympics,,Physics Olympics,,Verified,Allan,
Mission Possible,Mission Possible,Mission Possible,,Verified,moscropmissionpossible@gmail.com,
